order_id,order_date,customer_id,customer_type,product_category,product_name,unit_price,quantity,total_amount,prefecture,payment_method
K002978,2024-01-05,C0161,法人,OA用品,USBメモリ32GB,1184,10,11844,福岡,クレジットカード
K004813,2024-01-05,C0245,法人,食品飲料,ドリップコーヒー（50杯）,1234,4,4936,神奈川,請求書払い
K001265,2024-01-05,C0019,個人,OA用品,コピー用紙（A4・500枚）,1190,5,5952,東京,請求書払い
K002361,2024-01-05,C0131,法人,OA用品,USBメモリ32GB,1536,13,19973,神奈川,クレジットカード
K002818,2024-01-05,C0137,個人,文具,クリアファイル（20枚）,966,7,6759,神奈川,クレジットカード
K004097,2024-01-05,C0097,個人,文具,クリアファイル（20枚）,1100,2,2200,北海道,代金引換
K002132,2024-01-05,C0123,個人,文具,ボールペン（10本）,1057,5,5283,大阪,代金引換
K003965,2024-01-05,C0041,個人,オフィス家具,オフィスチェア,1512,13,19654,神奈川,クレジットカード
K000841,2024-01-05,C0028,法人,OA用品,LANケーブル（5m）,1571,15,23559,神奈川,請求書払い
K002534,2024-01-06,C0235,個人,食品飲料,ミネラルウォーター（24本）,363,3,1090,大阪,クレジットカード
K003420,2024-01-06,C0017,法人,OA用品,電卓,3231,4,12925,東京,請求書払い
K004547,2024-01-06,C0166,法人,オフィス家具,オフィスチェア,1226,8,9811,東京,請求書払い
K000564,2024-01-06,C0227,法人,文具,ノート（A4・5冊）,1204,4,4816,愛知,銀行振込
K002683,2024-01-06,C0257,法人,生活用品,紙コップ（100個）,1452,4,5808,大阪,クレジットカード
K000333,2024-01-06,C0266,個人,食品飲料,緑茶ペット（24本）,1736,2,3473,北海道,クレジットカード
K003088,2024-01-07,C0146,個人,オフィス家具,会議用テーブル,568,3,1705,大阪,クレジットカード
K000245,2024-01-07,C0166,法人,生活用品,紙コップ（100個）,534,5,2671,東京,銀行振込
K003067,2024-01-07,C0008,個人,OA用品,LANケーブル（5m）,1158,3,3475,神奈川,クレジットカード
K002213,2024-01-08,C0085,法人,文具,修正テープ,654,7,4580,愛知,銀行振込
K003946,2024-01-08,C0173,法人,オフィス家具,デスクトップワゴン,540,4,2158,大阪,銀行振込
K004056,2024-01-08,C0160,法人,生活用品,紙コップ（100個）,2106,2,4212,埼玉,請求書払い
K000795,2024-01-08,C0065,法人,OA用品,トナーカートリッジ,778,7,5445,大阪,銀行振込
K001074,2024-01-08,C0150,個人,文具,付箋セット,838,7,5868,神奈川,代金引換
K000372,2024-01-08,C0092,法人,食品飲料,ミネラルウォーター（24本）,1128,10,11283,大阪,クレジットカード
K000937,2024-01-08,C0052,法人,生活用品,ゴミ袋（90L・50枚）,775,13,10073,東京,請求書払い
K003264,2024-01-08,C0298,個人,文具,付箋セット,671,6,4025,東京,クレジットカード
K001514,2024-01-08,C0289,法人,OA用品,USBメモリ32GB,664,2,1328,東京,請求書払い
K000172,2024-01-08,C0082,法人,OA用品,コピー用紙（A4・500枚）,636,14,8908,愛知,銀行振込
K004136,2024-01-08,C0244,法人,生活用品,ハンドソープ詰替,706,21,14826,愛知,請求書払い
K002709,2024-01-08,C0226,個人,生活用品,紙コップ（100個）,795,15,11921,東京,代金引換
K002704,2024-01-08,C0293,個人,文具,クリアファイル（20枚）,1110,23,25528,神奈川,請求書払い
K003224,2024-01-09,C0279,法人,食品飲料,スティックスープ,1317,2,2633,埼玉,クレジットカード
K001814,2024-01-09,C0165,個人,食品飲料,ドリップコーヒー（50杯）,782,2,1565,愛知,クレジットカード
K004235,2024-01-09,C0083,個人,OA用品,トナーカートリッジ,1008,4,4033,大阪,クレジットカード
K001050,2024-01-09,C0235,個人,生活用品,紙コップ（100個）,2573,5,12867,東京,クレジットカード
K002686,2024-01-09,C0187,個人,文具,ボールペン（10本）,804,2,1607,愛知,クレジットカード
K003471,2024-01-09,C0109,個人,生活用品,ゴミ袋（90L・50枚）,264,4,1056,愛知,クレジットカード
K000883,2024-01-09,C0002,法人,OA用品,電卓,1399,4,5597,埼玉,請求書払い
K000011,2024-01-09,,法人,生活用品,紙コップ（100個）,1049,2,2098,東京,請求書払い
K002517,2024-01-09,C0109,個人,食品飲料,ドリップコーヒー（50杯）,578,4,2311,神奈川,代金引換
K001747,2024-01-09,C0083,個人,オフィス家具,パーテーション,4388,7,30714,神奈川,代金引換
K000641,2024-01-09,C0231,法人,食品飲料,スティックスープ,671,2,1342,東京,請求書払い
K003690,2024-01-09,C0105,個人,生活用品,ゴミ袋（90L・50枚）,1602,3,4807,東京,クレジットカード
K004552,2024-01-09,C0169,法人,生活用品,紙コップ（100個）,939,8,7510,福岡,請求書払い
K002422,2024-01-10,C0201,個人,生活用品,ウェットティッシュ,740,2,1480,神奈川,クレジットカード
K001971,2024-01-10,C0292,法人,食品飲料,緑茶ペット（24本）,856,7,5991,東京,銀行振込
K003162,2024-01-10,C0081,法人,OA用品,コピー用紙（A4・500枚）,966,4,3863,東京,請求書払い
K000926,2024-01-10,C0270,個人,オフィス家具,デスクトップワゴン,435,3,1304,埼玉,クレジットカード
K002720,2024-01-10,C0059,法人,文具,クリアファイル（20枚）,1120,13,14559,神奈川,請求書払い
K004520,2024-01-10,C0071,個人,OA用品,USBメモリ32GB,830,9,7473,神奈川,請求書払い
K004508,2024-01-10,C0103,法人,オフィス家具,書庫（スチール）,1522,13,19790,神奈川,銀行振込
K001577,2024-01-10,C0039,個人,文具,付箋セット,907,1,907,大阪,クレジットカード
K000378,2024-01-10,C0156,法人,生活用品,ウェットティッシュ,3367,4,13470,埼玉,銀行振込
K004418,2024-01-10,C0091,個人,文具,クリアファイル（20枚）,1009,6,6057,東京,クレジットカード
K003413,2024-01-10,C0194,法人,文具,修正テープ,871,2,1741,福岡,請求書払い
K001203,2024-01-10,C0261,個人,文具,ノート（A4・5冊）,631,13,8203,東京,クレジットカード
K002019,2024-01-10,C0167,法人,OA用品,USBメモリ32GB,1977,2,3953,東京,請求書払い
K004327,2024-01-10,C0226,個人,オフィス家具,デスクトップワゴン,500,8,4003,大阪,クレジットカード
K003951,2024-01-10,C0047,法人,文具,修正テープ,1094,5,5468,大阪,銀行振込
K000357,2024-01-11,C0063,個人,OA用品,LANケーブル（5m）,871,4,3484,東京,代金引換
K002398,2024-01-11,C0191,個人,文具,クリアファイル（20枚）,706,3,2119,愛知,クレジットカード
K000516,2024-01-11,C0078,法人,文具,修正テープ,629,5,3143,東京,請求書払い
K004197,2024-01-11,C0143,法人,オフィス家具,オフィスチェア,2252,7,15761,愛知,クレジットカード
K000238,2024-01-11,C0105,個人,文具,付箋セット,2047,4,8188,東京,クレジットカード
K001048,2024-01-11,C0107,個人,生活用品,ゴミ袋（90L・50枚）,941,3,2824,神奈川,クレジットカード
K002976,2024-01-11,C0039,個人,OA用品,LANケーブル（5m）,862,2,1723,福岡,クレジットカード
K000902,2024-01-11,C0106,個人,食品飲料,スティックスープ,776,4,3106,北海道,請求書払い
K001970,2024-01-11,C0270,個人,OA用品,トナーカートリッジ,634,8,5075,福岡,代金引換
K001697,2024-01-11,C0221,個人,生活用品,ゴミ袋（90L・50枚）,977,18,17593,北海道,クレジットカード
K001202,2024-01-11,C0094,個人,文具,修正テープ,998,2,1996,大阪,クレジットカード
K003926,2024-01-11,C0063,個人,食品飲料,緑茶ペット（24本）,1518,6,9108,埼玉,クレジットカード
K000875,2024-01-11,C0085,法人,文具,クリアファイル（20枚）,775,21,16269,東京,請求書払い
K003669,2024-01-11,C0250,個人,食品飲料,ミネラルウォーター（24本）,1244,3,3731,北海道,クレジットカード
K000313,2024-01-11,C0084,法人,食品飲料,緑茶ペット（24本）,726,10,7259,東京,請求書払い
K004889,2024-01-11,C0055,法人,文具,修正テープ,959,10,9591,東京,請求書払い
K004487,2024-01-11,C0261,個人,文具,修正テープ,806,7,5640,福岡,クレジットカード
K000099,2024-01-11,C0289,法人,OA用品,トナーカートリッジ,484,10,4838,北海道,請求書払い
K001503,2024-01-11,C0200,法人,OA用品,トナーカートリッジ,771,2,1542,東京,請求書払い
K003963,2024-01-12,C0128,法人,オフィス家具,デスクトップワゴン,792,2,1585,福岡,請求書払い
K000558,2024-01-12,C0077,法人,OA用品,LANケーブル（5m）,1372,2,2743,埼玉,請求書払い
K002830,2024-01-12,C0007,法人,オフィス家具,オフィスチェア,2816,7,19712,大阪,銀行振込
K004100,2024-01-12,C0215,法人,食品飲料,個包装菓子アソート,1252,2,2503,愛知,請求書払い
K002081,2024-01-12,C0062,法人,食品飲料,緑茶ペット（24本）,1802,1,1802,埼玉,請求書払い
K001160,2024-01-12,C0204,法人,OA用品,トナーカートリッジ,2040,15,30603,大阪,請求書払い
K000879,2024-01-12,C0243,個人,食品飲料,ミネラルウォーター（24本）,1534,4,6134,東京,クレジットカード
K002414,2024-01-12,C0190,法人,OA用品,電卓,671,10,6707,東京,クレジットカード
K001340,2024-01-13,C0029,法人,文具,クリアファイル（20枚）,1612,4,6448,福岡,請求書払い
K003655,2024-01-13,C0074,個人,生活用品,ハンドソープ詰替,388,13,5049,福岡,クレジットカード
K003504,2024-01-13,C0024,個人,OA用品,USBメモリ32GB,1492,14,20883,東京,クレジットカード
K001436,2024-01-13,C0063,個人,OA用品,トナーカートリッジ,804,3,2413,北海道,クレジットカード
K000291,2024-01-13,C0247,法人,食品飲料,ドリップコーヒー（50杯）,736,13,9569,東京,請求書払い
K003696,2024-01-13,C0204,法人,食品飲料,緑茶ペット（24本）,1634,8,13069,福岡,クレジットカード
K001455,2024-01-13,C0083,個人,文具,修正テープ,589,6,3534,東京,請求書払い
K002419,2024-01-14,C0268,法人,オフィス家具,オフィスチェア,1116,2,2231,埼玉,請求書払い
K003383,2024-01-14,C0233,法人,文具,付箋セット,912,7,6386,東京,請求書払い
K001234,2024-01-14,C0263,法人,オフィス家具,デスクトップワゴン,631,5,3153,福岡,請求書払い
K000101,2024-01-14,C0220,法人,OA用品,LANケーブル（5m）,1871,2,3743,愛知,銀行振込
K000975,2024-01-14,C0130,法人,OA用品,トナーカートリッジ,1202,4,4808,東京,請求書払い
K003489,2024-01-14,C0157,法人,OA用品,電卓,1188,4,4753,福岡,請求書払い
K001301,2024-01-14,C0101,個人,生活用品,トイレットペーパー（12ロール）,801,5,4005,神奈川,代金引換
K001020,2024-01-15,C0215,法人,生活用品,ウェットティッシュ,693,5,3466,大阪,請求書払い
K003795,2024-01-15,C0212,法人,OA用品,LANケーブル（5m）,901,4,3602,東京,請求書払い
K003842,2024-01-15,C0154,法人,OA用品,電卓,913,7,6388,東京,請求書払い
K000765,2024-01-15,C0220,法人,文具,修正テープ,399,39,15546,神奈川,請求書払い
K004011,2024-01-15,C0083,個人,食品飲料,個包装菓子アソート,2568,11,28250,東京,クレジットカード
K002183,2024-01-15,C0196,法人,文具,付箋セット,643,4,2572,東京,請求書払い
K001289,2024-01-15,C0288,個人,生活用品,トイレットペーパー（12ロール）,1515,2,3030,神奈川,クレジットカード
K003385,2024-01-15,C0060,個人,OA用品,コピー用紙（A4・500枚）,504,7,3527,大阪,クレジットカード
K002242,2024-01-15,C0281,法人,OA用品,トナーカートリッジ,1659,11,18247,福岡,クレジットカード
K001248,2024-01-15,C0279,法人,文具,修正テープ,2664,18,47955,北海道,請求書払い
K000043,2024-01-15,C0268,法人,食品飲料,ミネラルウォーター（24本）,943,10,9429,神奈川,クレジットカード
K002011,2024-01-15,C0053,法人,文具,クリアファイル（20枚）,1671,5,8355,東京,請求書払い
K004743,2024-01-16,C0079,個人,食品飲料,スティックスープ,866,13,11262,北海道,クレジットカード
K001031,2024-01-16,C0229,個人,生活用品,紙コップ（100個）,519,2,1038,神奈川,請求書払い
K000146,2024-01-16,C0042,個人,生活用品,ゴミ袋（90L・50枚）,1476,2,2951,東京,請求書払い
K001904,2024-01-16,C0216,法人,文具,付箋セット,1779,8,14232,神奈川,請求書払い
K002298,2024-01-16,C0033,法人,オフィス家具,会議用テーブル,417,2,833,埼玉,クレジットカード
K001403,2024-01-16,C0283,個人,OA用品,LANケーブル（5m）,1392,4,5567,北海道,請求書払い
K000857,2024-01-16,C0109,個人,オフィス家具,デスクトップワゴン,901,10,9012,神奈川,クレジットカード
K003664,2024-01-16,C0074,個人,文具,付箋セット,1989,2,3978,神奈川,クレジットカード
K002859,2024-01-16,C0254,法人,OA用品,トナーカートリッジ,436,13,5674,愛知,銀行振込
K000286,2024-01-16,C0059,法人,食品飲料,緑茶ペット（24本）,1466,2,2932,神奈川,請求書払い
K001651,2024-01-16,C0240,法人,OA用品,コピー用紙（A4・500枚）,1475,10,14749,埼玉,請求書払い
K000292,2024-01-16,C0239,法人,文具,修正テープ,709,4,2837,東京,請求書払い
K000629,2024-01-16,C0300,法人,文具,ノート（A4・5冊）,1896,1,1896,愛知,請求書払い
K001350,2024-01-17,C0059,法人,食品飲料,スティックスープ,1188,5,5940,埼玉,銀行振込
K004839,2024-01-17,C0193,個人,文具,修正テープ,1865,3,5595,東京,代金引換
K002468,2024-01-17,C0237,個人,OA用品,電卓,2375,1,2375,愛知,代金引換
K004058,2024-01-17,C0257,法人,生活用品,ハンドソープ詰替,1503,7,10523,神奈川,銀行振込
K001417,2024-01-17,C0162,個人,食品飲料,ミネラルウォーター（24本）,487,8,3897,東京,クレジットカード
K004748,2024-01-17,C0070,法人,生活用品,ハンドソープ詰替,877,5,4384,東京,請求書払い
K002418,2024-01-17,C0025,法人,食品飲料,スティックスープ,1212,5,6061,東京,銀行振込
K000611,2024-01-17,C0072,法人,文具,付箋セット,562,20,11250,大阪,クレジットカード
K001274,2024-01-17,C0218,個人,OA用品,電卓,549,6,3294,北海道,クレジットカード
K002900,2024-01-17,C0131,法人,生活用品,トイレットペーパー（12ロール）,946,2,1893,愛知,請求書払い
K003911,2024-01-17,C0294,法人,文具,付箋セット,1663,7,11641,埼玉,請求書払い
K003960,2024-01-17,C0256,法人,生活用品,ウェットティッシュ,880,5,4401,大阪,銀行振込
K003424,2024-01-17,C0205,個人,文具,修正テープ,680,2,1360,大阪,クレジットカード
K004980,2024-01-17,C0206,法人,文具,ボールペン（10本）,1055,21,22165,大阪,請求書払い
K002858,2024-01-17,C0054,法人,生活用品,ハンドソープ詰替,680,11,7479,神奈川,請求書払い
K003389,2024-01-17,C0194,法人,オフィス家具,パーテーション,2938,4,11753,福岡,請求書払い
K001014,2024-01-17,C0276,個人,文具,クリアファイル（20枚）,834,1,834,神奈川,クレジットカード
K001781,2024-01-17,C0229,個人,生活用品,紙コップ（100個）,937,9,8436,愛知,代金引換
K003638,2024-01-17,C0087,法人,オフィス家具,会議用テーブル,1051,2,2101,神奈川,請求書払い
K000336,2024-01-18,C0231,法人,オフィス家具,オフィスチェア,899,2,1797,愛知,クレジットカード
K000169,2024-01-18,C0076,個人,OA用品,LANケーブル（5m）,1581,1,1581,大阪,代金引換
K003410,2024-01-18,C0041,個人,生活用品,トイレットペーパー（12ロール）,1636,2,3272,埼玉,クレジットカード
K000600,2024-01-18,,法人,文具,ボールペン（10本）,1370,10,13700,愛知,銀行振込
K001423,2024-01-18,C0284,法人,OA用品,電卓,2988,2,5977,埼玉,請求書払い
K001827,2024-01-18,C0139,法人,文具,ボールペン（10本）,1312,2,2625,東京,クレジットカード
K003968,2024-01-18,C0059,法人,食品飲料,個包装菓子アソート,3334,1,3334,東京,請求書払い
K002940,2024-01-18,C0080,法人,生活用品,ハンドソープ詰替,646,7,4521,東京,請求書払い
K004318,2024-01-18,C0060,個人,OA用品,コピー用紙（A4・500枚）,1223,9,11009,埼玉,クレジットカード
K002204,2024-01-18,C0013,個人,OA用品,USBメモリ32GB,1589,7,11120,埼玉,クレジットカード
K001795,2024-01-18,C0077,法人,食品飲料,ドリップコーヒー（50杯）,1191,4,4763,福岡,請求書払い
K001073,2024-01-18,C0070,法人,生活用品,紙コップ（100個）,1183,8,9460,愛知,銀行振込
K003875,2024-01-18,C0019,個人,生活用品,ウェットティッシュ,757,1,757,大阪,クレジットカード
K004217,2024-01-18,C0197,個人,文具,ボールペン（10本）,670,4,2678,埼玉,代金引換
K004090,2024-01-19,C0243,個人,OA用品,トナーカートリッジ,1490,2,2981,大阪,クレジットカード
K002777,2024-01-19,C0031,個人,OA用品,USBメモリ32GB,539,5,2697,北海道,クレジットカード
K002366,2024-01-19,C0067,個人,文具,付箋セット,1955,3,5866,埼玉,クレジットカード
K000487,2024-01-19,C0279,法人,食品飲料,緑茶ペット（24本）,1401,7,9808,埼玉,請求書払い
K004394,2024-01-19,C0222,個人,OA用品,USBメモリ32GB,1135,8,9077,東京,代金引換
K004844,2024-01-19,C0152,法人,オフィス家具,書庫（スチール）,1100,1,1100,東京,銀行振込
K000473,2024-01-19,C0255,法人,文具,ノート（A4・5冊）,867,4,3468,東京,請求書払い
K000515,2024-01-19,C0271,個人,生活用品,ウェットティッシュ,1156,3,3467,東京,クレジットカード
K001867,2024-01-19,C0091,個人,生活用品,ハンドソープ詰替,1471,1,1471,神奈川,代金引換
K002284,2024-01-19,C0211,法人,食品飲料,スティックスープ,987,14,13819,愛知,請求書払い
K002838,2024-01-19,C0203,法人,OA用品,トナーカートリッジ,806,4,3222,東京,銀行振込
K001549,2024-01-19,C0161,法人,文具,付箋セット,780,5,3902,愛知,銀行振込
K000059,2024-01-19,C0002,法人,文具,ボールペン（10本）,265,17,4506,福岡,請求書払い
K004390,2024-01-19,,個人,文具,修正テープ,2252,3,6755,大阪,クレジットカード
K000348,2024-01-19,C0265,法人,オフィス家具,オフィスチェア,2965,1,2965,埼玉,請求書払い
K001195,2024-01-20,C0169,法人,オフィス家具,パーテーション,1315,20,26295,神奈川,請求書払い
K000335,2024-01-20,C0297,法人,OA用品,コピー用紙（A4・500枚）,947,2,1894,東京,請求書払い
K000030,2024-01-20,C0014,法人,オフィス家具,書庫（スチール）,637,2,1274,愛知,請求書払い
K000958,2024-01-21,C0286,法人,生活用品,ゴミ袋（90L・50枚）,746,7,5223,神奈川,クレジットカード
K002607,2024-01-21,C0240,法人,文具,ノート（A4・5冊）,1293,11,14224,大阪,請求書払い
K004677,2024-01-21,C0236,法人,生活用品,紙コップ（100個）,529,2,1058,埼玉,請求書払い
K004342,2024-01-22,C0166,法人,文具,ボールペン（10本）,1372,4,5488,東京,クレジットカード
K004925,2024-01-22,C0217,個人,オフィス家具,パーテーション,691,7,4835,大阪,クレジットカード
K001466,2024-01-22,C0234,個人,OA用品,コピー用紙（A4・500枚）,678,19,12887,埼玉,クレジットカード
K002781,2024-01-22,C0160,法人,文具,クリアファイル（20枚）,748,4,2990,福岡,銀行振込
K003663,2024-01-22,,法人,文具,クリアファイル（20枚）,762,2,1525,北海道,請求書払い
K003959,2024-01-22,C0074,個人,OA用品,コピー用紙（A4・500枚）,371,3,1113,福岡,請求書払い
K002232,2024-01-22,C0274,法人,OA用品,トナーカートリッジ,719,11,7914,愛知,請求書払い
K002645,2024-01-22,C0090,法人,文具,クリアファイル（20枚）,416,7,2912,大阪,請求書払い
K004388,2024-01-22,C0214,個人,文具,付箋セット,2579,12,30943,神奈川,クレジットカード
K003809,2024-01-22,C0234,個人,OA用品,トナーカートリッジ,2789,1,2789,東京,クレジットカード
K003979,2024-01-22,C0221,個人,生活用品,トイレットペーパー（12ロール）,1224,3,3673,神奈川,クレジットカード
K002563,2024-01-22,C0092,法人,文具,付箋セット,586,2,1171,北海道,請求書払い
K004108,2024-01-22,C0231,法人,OA用品,コピー用紙（A4・500枚）,1853,5,9263,埼玉,請求書払い
K003672,2024-01-22,C0156,法人,OA用品,トナーカートリッジ,1391,2,2781,大阪,請求書払い
K004564,2024-01-22,C0121,個人,オフィス家具,パーテーション,1099,6,6592,東京,請求書払い
K003010,2024-01-23,C0203,法人,生活用品,ゴミ袋（90L・50枚）,1131,2,2262,愛知,銀行振込
K000301,2024-01-23,C0185,法人,文具,ボールペン（10本）,1083,4,4331,東京,請求書払い
K004373,2024-01-23,C0300,法人,生活用品,ウェットティッシュ,1477,14,20684,大阪,請求書払い
K002024,2024-01-23,C0126,法人,食品飲料,スティックスープ,611,4,2443,東京,請求書払い
K003488,2024-01-23,C0172,個人,生活用品,ウェットティッシュ,1546,2,3092,東京,請求書払い
K000702,2024-01-23,C0049,個人,OA用品,USBメモリ32GB,770,3,2309,神奈川,請求書払い
K001303,2024-01-23,C0226,個人,文具,修正テープ,1070,3,3209,東京,請求書払い
K002987,2024-01-23,C0082,法人,生活用品,ゴミ袋（90L・50枚）,947,13,12317,東京,クレジットカード
K003994,2024-01-23,C0077,法人,OA用品,コピー用紙（A4・500枚）,929,2,1858,東京,銀行振込
K000978,2024-01-23,C0058,法人,文具,修正テープ,639,5,3193,東京,クレジットカード
K002065,2024-01-23,C0215,法人,文具,ボールペン（10本）,815,4,3262,北海道,銀行振込
K003450,2024-01-23,C0015,個人,文具,修正テープ,1395,8,11158,神奈川,クレジットカード
K004952,2024-01-23,C0118,法人,生活用品,トイレットペーパー（12ロール）,586,27,15828,東京,請求書払い
K003810,2024-01-23,C0059,法人,文具,クリアファイル（20枚）,689,21,14464,埼玉,請求書払い
K002654,2024-01-23,C0043,法人,食品飲料,個包装菓子アソート,918,1,918,福岡,銀行振込
K000149,2024-01-23,C0275,法人,オフィス家具,デスクトップワゴン,505,8,4042,東京,クレジットカード
K002330,2024-01-23,C0271,個人,生活用品,ハンドソープ詰替,672,6,4029,東京,クレジットカード
K004651,2024-01-24,C0089,個人,生活用品,トイレットペーパー（12ロール）,1701,1,1701,神奈川,クレジットカード
K003744,2024-01-24,C0282,個人,オフィス家具,パーテーション,2267,5,11337,愛知,請求書払い
