注文ID,注文日,顧客ID,顧客タイプ,商品カテゴリ,商品名,単価,数量,売上金額,都道府県,支払方法
K003669,2024-01-11,C0250,個人,食品飲料,ミネラルウォーター（24本）,622,5,3110,北海道,クレジットカード
K000313,2024-01-11,C0084,法人,食品飲料,緑茶ペット（24本）,363,18,6534,東京,請求書払い
K004889,2024-01-11,C0055,法人,文具,修正テープ,575,15,8625,東京,請求書払い
K004487,2024-01-11,C0261,個人,文具,修正テープ,484,10,4840,福岡,クレジットカード
K000099,2024-01-11,C0289,法人,OA用品,トナーカートリッジ,1210,7,8470,北海道,請求書払い
K001503,2024-01-11,C0200,法人,OA用品,トナーカートリッジ,1928,1,1928,東京,請求書払い
K003963,2024-01-12,C0128,法人,オフィス家具,デスクトップワゴン,5544,1,5544,福岡,請求書払い
K000558,2024-01-12,C0077,法人,OA用品,LANケーブル（5m）,3430,1,3430,埼玉,請求書払い
K002830,2024-01-12,C0007,法人,オフィス家具,オフィスチェア,19712,2,39424,大阪,銀行振込
K004100,2024-01-12,C0215,法人,食品飲料,個包装菓子アソート,626,4,2504,愛知,請求書払い
K002081,2024-01-12,C0062,法人,食品飲料,緑茶ペット（24本）,901,2,1802,埼玉,請求書払い
K001160,2024-01-12,C0204,法人,OA用品,トナーカートリッジ,5100,10,51000,大阪,請求書払い
K000879,2024-01-12,C0243,個人,食品飲料,ミネラルウォーター（24本）,767,7,5369,東京,クレジットカード
K002414,2024-01-12,C0190,法人,OA用品,電卓,1678,7,11746,東京,クレジットカード
K001340,2024-01-13,C0029,法人,文具,クリアファイル（20枚）,967,6,5802,福岡,請求書払い
K003655,2024-01-13,C0074,個人,生活用品,ハンドソープ詰替,466,13,6058,福岡,クレジットカード
K003504,2024-01-13,C0024,個人,OA用品,USBメモリ32GB,3730,10,37300,東京,クレジットカード
K001436,2024-01-13,C0063,個人,OA用品,トナーカートリッジ,2010,2,4020,北海道,クレジットカード
K000291,2024-01-13,C0247,法人,食品飲料,ドリップコーヒー（50杯）,368,23,8464,東京,請求書払い
K003696,2024-01-13,C0204,法人,食品飲料,緑茶ペット（24本）,817,14,11438,福岡,クレジットカード
K001455,2024-01-13,C0083,個人,文具,修正テープ,353,9,3177,東京,請求書払い
K002419,2024-01-14,C0268,法人,オフィス家具,オフィスチェア,7812,1,7812,埼玉,請求書払い
K003383,2024-01-14,C0233,法人,文具,付箋セット,547,10,5470,東京,請求書払い
K001234,2024-01-14,C0263,法人,オフィス家具,デスクトップワゴン,4417,2,8834,福岡,請求書払い
K000101,2024-01-14,C0220,法人,OA用品,LANケーブル（5m）,4678,1,4678,愛知,銀行振込
K000975,2024-01-14,C0130,法人,OA用品,トナーカートリッジ,3005,3,9015,東京,請求書払い
K003489,2024-01-14,C0157,法人,OA用品,電卓,2970,3,8910,福岡,請求書払い
K001301,2024-01-14,C0101,個人,生活用品,トイレットペーパー（12ロール）,961,5,4805,神奈川,代金引換
K001020,2024-01-15,C0215,法人,生活用品,ウェットティッシュ,832,5,4160,大阪,請求書払い
K003795,2024-01-15,C0212,法人,OA用品,LANケーブル（5m）,2252,3,6756,東京,請求書払い
K003842,2024-01-15,C0154,法人,OA用品,電卓,2282,5,11410,東京,請求書払い
K000765,2024-01-15,C0220,法人,文具,修正テープ,239,58,13862,神奈川,請求書払い
K004011,2024-01-15,C0083,個人,食品飲料,個包装菓子アソート,1284,20,25680,東京,クレジットカード
K002183,2024-01-15,C0196,法人,文具,付箋セット,386,6,2316,東京,請求書払い
K001289,2024-01-15,C0288,個人,生活用品,トイレットペーパー（12ロール）,1818,2,3636,神奈川,クレジットカード
K003385,2024-01-15,C0060,個人,OA用品,コピー用紙（A4・500枚）,1260,5,6300,大阪,クレジットカード
K002242,2024-01-15,C0281,法人,OA用品,トナーカートリッジ,4148,8,33184,福岡,クレジットカード
K001248,2024-01-15,C0279,法人,文具,修正テープ,1598,27,43146,北海道,請求書払い
K000043,2024-01-15,C0268,法人,食品飲料,ミネラルウォーター（24本）,472,18,8496,神奈川,クレジットカード
K002011,2024-01-15,C0053,法人,文具,クリアファイル（20枚）,1003,8,8024,東京,請求書払い
K004743,2024-01-16,C0079,個人,食品飲料,スティックスープ,433,23,9959,北海道,クレジットカード
K001031,2024-01-16,C0229,個人,生活用品,紙コップ（100個）,623,2,1246,神奈川,請求書払い
K000146,2024-01-16,C0042,個人,生活用品,ゴミ袋（90L・50枚）,1771,2,3542,東京,請求書払い
K001904,2024-01-16,C0216,法人,文具,付箋セット,1067,12,12804,神奈川,請求書払い
K002298,2024-01-16,C0033,法人,オフィス家具,会議用テーブル,2919,1,2919,埼玉,クレジットカード
K001403,2024-01-16,C0283,個人,OA用品,LANケーブル（5m）,3480,3,10440,北海道,請求書払い
K000857,2024-01-16,C0109,個人,オフィス家具,デスクトップワゴン,6307,3,18921,神奈川,クレジットカード
K003664,2024-01-16,C0074,個人,文具,付箋セット,1193,3,3579,神奈川,クレジットカード
K002859,2024-01-16,C0254,法人,OA用品,トナーカートリッジ,1090,9,9810,愛知,銀行振込
K000286,2024-01-16,C0059,法人,食品飲料,緑茶ペット（24本）,733,4,2932,神奈川,請求書払い
K001651,2024-01-16,C0240,法人,OA用品,コピー用紙（A4・500枚）,3688,7,25816,埼玉,請求書払い
K000292,2024-01-16,C0239,法人,文具,修正テープ,425,6,2550,東京,請求書払い
K000629,2024-01-16,C0300,法人,文具,ノート（A4・5冊）,1138,2,2276,愛知,請求書払い
K001350,2024-01-17,C0059,法人,食品飲料,スティックスープ,594,9,5346,埼玉,銀行振込
K004839,2024-01-17,C0193,個人,文具,修正テープ,1119,4,4476,東京,代金引換
K002468,2024-01-17,C0237,個人,OA用品,電卓,5938,1,5938,愛知,代金引換
K004058,2024-01-17,C0257,法人,生活用品,ハンドソープ詰替,1804,7,12628,神奈川,銀行振込
K001417,2024-01-17,C0162,個人,食品飲料,ミネラルウォーター（24本）,244,14,3416,東京,クレジットカード
K004748,2024-01-17,C0070,法人,生活用品,ハンドソープ詰替,1052,5,5260,東京,請求書払い
K002418,2024-01-17,C0025,法人,食品飲料,スティックスープ,606,9,5454,東京,銀行振込
K000611,2024-01-17,C0072,法人,文具,付箋セット,337,30,10110,大阪,クレジットカード
K001274,2024-01-17,C0218,個人,OA用品,電卓,1372,4,5488,北海道,クレジットカード
K002900,2024-01-17,C0131,法人,生活用品,トイレットペーパー（12ロール）,1135,2,2270,愛知,請求書払い
K003911,2024-01-17,C0294,法人,文具,付箋セット,998,10,9980,埼玉,請求書払い
K003960,2024-01-17,C0256,法人,生活用品,ウェットティッシュ,1056,5,5280,大阪,銀行振込
K003424,2024-01-17,C0205,個人,文具,修正テープ,408,3,1224,大阪,クレジットカード
K004980,2024-01-17,C0206,法人,文具,ボールペン（10本）,633,32,20256,大阪,請求書払い
K002858,2024-01-17,C0054,法人,生活用品,ハンドソープ詰替,816,11,8976,神奈川,請求書払い
K003389,2024-01-17,C0194,法人,オフィス家具,パーテーション,20566,1,20566,福岡,請求書払い
K001014,2024-01-17,C0276,個人,文具,クリアファイル（20枚）,500,2,1000,神奈川,クレジットカード
K001781,2024-01-17,C0229,個人,生活用品,紙コップ（100個）,1124,9,10116,愛知,代金引換
K003638,2024-01-17,C0087,法人,オフィス家具,会議用テーブル,7357,1,7357,神奈川,請求書払い
K000336,2024-01-18,C0231,法人,オフィス家具,オフィスチェア,6293,1,6293,愛知,クレジットカード
K000169,2024-01-18,C0076,個人,OA用品,LANケーブル（5m）,3952,1,3952,大阪,代金引換
K003410,2024-01-18,C0041,個人,生活用品,トイレットペーパー（12ロール）,1963,2,3926,埼玉,クレジットカード
K000600,2024-01-18,,法人,文具,ボールペン（10本）,822,15,12330,愛知,銀行振込
K001423,2024-01-18,C0284,法人,OA用品,電卓,7470,1,7470,埼玉,請求書払い
K001827,2024-01-18,C0139,法人,文具,ボールペン（10本）,787,3,2361,東京,クレジットカード
K003968,2024-01-18,C0059,法人,食品飲料,個包装菓子アソート,1667,2,3334,東京,請求書払い
K002940,2024-01-18,C0080,法人,生活用品,ハンドソープ詰替,775,7,5425,東京,請求書払い
K004318,2024-01-18,C0060,個人,OA用品,コピー用紙（A4・500枚）,3058,6,18348,埼玉,クレジットカード
K002204,2024-01-18,C0013,個人,OA用品,USBメモリ32GB,3972,5,19860,埼玉,クレジットカード
K001795,2024-01-18,C0077,法人,食品飲料,ドリップコーヒー（50杯）,596,7,4172,福岡,請求書払い
K001073,2024-01-18,C0070,法人,生活用品,紙コップ（100個）,1420,8,11360,愛知,銀行振込
K003875,2024-01-18,C0019,個人,生活用品,ウェットティッシュ,908,1,908,大阪,クレジットカード
K004217,2024-01-18,C0197,個人,文具,ボールペン（10本）,402,6,2412,埼玉,代金引換
K004090,2024-01-19,C0243,個人,OA用品,トナーカートリッジ,3725,1,3725,大阪,クレジットカード
K002777,2024-01-19,C0031,個人,OA用品,USBメモリ32GB,1348,4,5392,北海道,クレジットカード
K002366,2024-01-19,C0067,個人,文具,付箋セット,1173,4,4692,埼玉,クレジットカード
K000487,2024-01-19,C0279,法人,食品飲料,緑茶ペット（24本）,700,13,9100,埼玉,請求書払い
K004394,2024-01-19,C0222,個人,OA用品,USBメモリ32GB,2838,6,17028,東京,代金引換
K004844,2024-01-19,C0152,法人,オフィス家具,書庫（スチール）,7700,1,7700,東京,銀行振込
K000473,2024-01-19,C0255,法人,文具,ノート（A4・5冊）,520,6,3120,東京,請求書払い
K000515,2024-01-19,C0271,個人,生活用品,ウェットティッシュ,1387,3,4161,東京,クレジットカード
K001867,2024-01-19,C0091,個人,生活用品,ハンドソープ詰替,1765,1,1765,神奈川,代金引換
K002284,2024-01-19,C0211,法人,食品飲料,スティックスープ,494,25,12350,愛知,請求書払い
K002838,2024-01-19,C0203,法人,OA用品,トナーカートリッジ,2015,3,6045,東京,銀行振込
K001549,2024-01-19,C0161,法人,文具,付箋セット,468,8,3744,愛知,銀行振込
K000059,2024-01-19,C0002,法人,文具,ボールペン（10本）,159,26,4134,福岡,請求書払い
K004390,2024-01-19,,個人,文具,修正テープ,1351,4,5404,大阪,クレジットカード
K000348,2024-01-19,C0265,法人,オフィス家具,オフィスチェア,20755,1,20755,埼玉,請求書払い
K001195,2024-01-20,C0169,法人,オフィス家具,パーテーション,9205,6,55230,神奈川,請求書払い
K000335,2024-01-20,C0297,法人,OA用品,コピー用紙（A4・500枚）,2368,1,2368,東京,請求書払い
K000030,2024-01-20,C0014,法人,オフィス家具,書庫（スチール）,4459,1,4459,愛知,請求書払い
K000958,2024-01-21,C0286,法人,生活用品,ゴミ袋（90L・50枚）,895,7,6265,神奈川,クレジットカード
K002607,2024-01-21,C0240,法人,文具,ノート（A4・5冊）,776,16,12416,大阪,請求書払い
K004677,2024-01-21,C0236,法人,生活用品,紙コップ（100個）,635,2,1270,埼玉,請求書払い
K004342,2024-01-22,C0166,法人,文具,ボールペン（10本）,823,6,4938,東京,クレジットカード
K004925,2024-01-22,C0217,個人,オフィス家具,パーテーション,4837,2,9674,大阪,クレジットカード
K001466,2024-01-22,C0234,個人,OA用品,コピー用紙（A4・500枚）,1695,13,22035,埼玉,クレジットカード
K002781,2024-01-22,C0160,法人,文具,クリアファイル（20枚）,449,6,2694,福岡,銀行振込
K003663,2024-01-22,,法人,文具,クリアファイル（20枚）,457,3,1371,北海道,請求書払い
K003959,2024-01-22,C0074,個人,OA用品,コピー用紙（A4・500枚）,928,2,1856,福岡,請求書払い
K002232,2024-01-22,C0274,法人,OA用品,トナーカートリッジ,1798,8,14384,愛知,請求書払い
K002645,2024-01-22,C0090,法人,文具,クリアファイル（20枚）,250,10,2500,大阪,請求書払い
K004388,2024-01-22,C0214,個人,文具,付箋セット,1547,18,27846,神奈川,クレジットカード
K003809,2024-01-22,C0234,個人,OA用品,トナーカートリッジ,6972,1,6972,東京,クレジットカード
K003979,2024-01-22,C0221,個人,生活用品,トイレットペーパー（12ロール）,1469,3,4407,神奈川,クレジットカード
K002563,2024-01-22,C0092,法人,文具,付箋セット,352,3,1056,北海道,請求書払い
K004108,2024-01-22,C0231,法人,OA用品,コピー用紙（A4・500枚）,4632,4,18528,埼玉,請求書払い
K003672,2024-01-22,C0156,法人,OA用品,トナーカートリッジ,3478,1,3478,大阪,請求書払い
K004564,2024-01-22,C0121,個人,オフィス家具,パーテーション,7693,2,15386,東京,請求書払い
K003010,2024-01-23,C0203,法人,生活用品,ゴミ袋（90L・50枚）,1357,2,2714,愛知,銀行振込
K000301,2024-01-23,C0185,法人,文具,ボールペン（10本）,650,6,3900,東京,請求書払い
K004373,2024-01-23,C0300,法人,生活用品,ウェットティッシュ,1772,14,24808,大阪,請求書払い
K002024,2024-01-23,C0126,法人,食品飲料,スティックスープ,306,7,2142,東京,請求書払い
K003488,2024-01-23,C0172,個人,生活用品,ウェットティッシュ,1855,2,3710,東京,請求書払い
K000702,2024-01-23,C0049,個人,OA用品,USBメモリ32GB,1925,2,3850,神奈川,請求書払い
K001303,2024-01-23,C0226,個人,文具,修正テープ,642,4,2568,東京,請求書払い
K002987,2024-01-23,C0082,法人,生活用品,ゴミ袋（90L・50枚）,1136,13,14768,東京,クレジットカード
K003994,2024-01-23,C0077,法人,OA用品,コピー用紙（A4・500枚）,2322,1,2322,東京,銀行振込
K000978,2024-01-23,C0058,法人,文具,修正テープ,383,8,3064,東京,クレジットカード
K002065,2024-01-23,C0215,法人,文具,ボールペン（10本）,489,6,2934,北海道,銀行振込
K003450,2024-01-23,C0015,個人,文具,修正テープ,837,12,10044,神奈川,クレジットカード
K004952,2024-01-23,C0118,法人,生活用品,トイレットペーパー（12ロール）,703,27,18981,東京,請求書払い
K003810,2024-01-23,C0059,法人,文具,クリアファイル（20枚）,413,32,13216,埼玉,請求書払い
K002654,2024-01-23,C0043,法人,食品飲料,個包装菓子アソート,459,2,918,福岡,銀行振込
K000149,2024-01-23,C0275,法人,オフィス家具,デスクトップワゴン,3535,2,7070,東京,クレジットカード
K002330,2024-01-23,C0271,個人,生活用品,ハンドソープ詰替,806,6,4836,東京,クレジットカード
K004651,2024-01-24,C0089,個人,生活用品,トイレットペーパー（12ロール）,2041,1,2041,神奈川,クレジットカード
K003744,2024-01-24,C0282,個人,オフィス家具,パーテーション,15869,2,31738,愛知,請求書払い
